codiv_taxa	codiv_clade	codiv_lineage	hostSpecies
Bonobo6156032 Bt3_clade1_bonobo	Bt3_clade1_bonobo	Bt3	bonobo
Bonobo6331470 Bt3_clade1_bonobo	Bt3_clade1_bonobo	Bt3	bonobo
Bonobo11367003 Bt3_clade1_bonobo	Bt3_clade1_bonobo	Bt3	bonobo
Bonobo4255178 Bt3_clade1_bonobo	Bt3_clade1_bonobo	Bt3	bonobo
Bonobo11646549 Bt3_clade1_bonobo	Bt3_clade1_bonobo	Bt3	bonobo
Bonobo4668782 Bt3_clade1_bonobo	Bt3_clade1_bonobo	Bt3	bonobo
Bonobo3971783 Bt3_clade1_bonobo	Bt3_clade1_bonobo	Bt3	bonobo
Bonobo9832770 Bt3_clade1_bonobo	Bt3_clade1_bonobo	Bt3	bonobo
Bonobo5805938 Bt3_clade1_bonobo	Bt3_clade1_bonobo	Bt3	bonobo
Bonobo4076472 Bt3_clade1_bonobo	Bt3_clade1_bonobo	Bt3	bonobo
Bonobo12157978 Bt3_clade1_bonobo	Bt3_clade1_bonobo	Bt3	bonobo
Bonobo4950863 Bt3_clade1_bonobo	Bt3_clade1_bonobo	Bt3	bonobo
Bonobo8213484 Bt3_clade1_bonobo	Bt3_clade1_bonobo	Bt3	bonobo
Bonobo10623458 Bt3_clade1_bonobo	Bt3_clade1_bonobo	Bt3	bonobo
Bonobo4232320 Bt3_clade1_bonobo	Bt3_clade1_bonobo	Bt3	bonobo
