0.027	0.4254254	0.5405405
0.55	0.5335335	0.2632633
0.532	0.6066066	0.7037037
0.463	0.6226226	0.6406406
0.003	0.03303303	0.01701702
0.984	0.965966	0.9049049
0.434	0.06206206	0.1781782
0.761	0.6866867	0.7167167
0.298	0.1611612	0.1301301
0.218	0.3833834	0.2152152
0.989	0.991992	0.8628629
0.948	0.8848849	0.976977
0.454	0.7347347	0.6586587
0.094	0.09109109	0.08808809
0.65	0.8718719	0.4564565
0.387	0.6876877	0.968969
0.27	0.7067067	0.3403403
0.065	0.09309309	0.04404404
0.681	0.3403403	0.1961962
0.705	0.4034034	0.6646647
0.541	0.6096096	0.9069069
0.715	0.7197197	0.7057057
0.363	0.3203203	0.3993994
0.976	0.6486486	0.7027027
0.912	0.9189189	0.8758759
0.925	0.972973	0.951952
0.297	0.3853854	0.3043043
0.939	0.9389389	0.95996
0.155	0.2812813	0.1711712
0.48	0.1031031	0.2402402
0.221	0.5915916	0.3723724
0.784	0.7637638	0.8328328
0.179	0.2772773	0.1411411
0.656	0.4324324	0.4914915
0.994	0.995996	0.8328328
0.827	0.7027027	0.7277277
0.671	0.3613614	0.4594595
0.311	0.1431431	0.5295295
0.015	0.01401401	0.009009009
0.625	0.6036036	0.5295295
0.402	0.4394394	0.3173173
0.426	0.5925926	0.4804805
0.887	0.9419419	0.5655656
0.687	0.6746747	0.6066066
0.715	0.6416416	0.7967968
0.097	0.3753754	0.1361361
0.556	0.956957	0.5825826
0.12	0.4214214	0.2222222
0.124	0.2502503	0.3933934
0.149	0.1421421	0.1321321
0.965	0.995996	0.956957
0.42	0.6206206	0.4944945
0.106	0.1801802	0.2372372
0.859	0.6846847	0.8228228
0.448	0.4064064	0.2732733
0.733	0.960961	0.8838839
0.544	0.3573574	0.2972973
0.4	0.2222222	0.2222222
0.5	0.2222222	0.3333333
0.4	1	0.7777778
0.5	0.8888889	1
1	1	0.7777778
0.9	0.5555556	1
0.9	0.7777778	0.8888889
1	0.8888889	0.8888889
0.7	0.3333333	0.8888889
0.7	0.6666667	0.2222222
0.9	0.1111111	0.7777778
0.6	0.4444444	0.3333333
0.8	0.5555556	0.6666667
0.2	0.1111111	0.1111111
0.8	0.4444444	0.7777778
1	0.3333333	0.3333333
0.9	0.5555556	0.7777778
0.7	0.6666667	0.8888889
0.5	0.2222222	0.5555556
0.2	0.1111111	0.2222222
0.1	0.1111111	0.1111111
0.6	0.7777778	0.4444444
1	0.8888889	0.5555556
0.5	0.4444444	0.5555556
0.9	0.8888889	1
0.3	0.5555556	0.2222222
0.7	1	0.8888889
0.8	0.8888889	0.5555556
0.2	0.2222222	0
0.2	0	0
0.8	0.8888889	1
0.9	0.5555556	0.8888889
1	0.8888889	0.8888889
0.6	0.8888889	1
0.9	1	0.6666667
0.1	0	0.1111111
0.1	0	0
0.1	0	0.1111111
0.8	0.7777778	0.7777778
0.4	0	0
0.9	0.1111111	0.5555556
1	0.6666667	1
0.3	0	0
0.2	0.3333333	0.3333333
0.4	0.6666667	0.3333333
1	1	0.8888889
0.6	0.8888889	0.7777778
0.2	0	0.1111111
0.4	0.1111111	0.4444444
0.6	0.8888889	1
0.8	0.1111111	0.1111111
0.5	0.3333333	0.4444444
0.2	0.4444444	0.1111111
0.1	0.2222222	0
0.3	0	0.3333333
0.5	0.1111111	0
0.1	0	0
0.9	1	0.8888889
0.6	0.2222222	0.3333333
0.6	1	0.3333333
1	0.6666667	0.8888889
0.2	0.3333333	0
0.8	1	0.5555556
0.3	0.7777778	0.6666667
0.5	0.8888889	0.8888889
0.5	0.6666667	0.6666667
0.1	0	0
0.5	0.5555556	0.7777778
0.7	0.8888889	0.2222222
0.5	0.3333333	0.4444444
0.5	0.1111111	0.4444444
0.6	0.2222222	0.4444444
0.9	0.4444444	0.6666667
0.7	0.7777778	0.1111111
0.4	0.1111111	0.3333333
0.3	0.2222222	0.2222222
0.3	0	0
0.4	0.1111111	0.4444444
0.3	0.8888889	1
0.9	0.8888889	0.4444444
1	0.3333333	0.8888889
0.3	0	0.1111111
0.7	1	1
0.7	0.7777778	0.7777778
