Old_SampleID	dataset	genus_sp	subspecies	common_name	uniqueid	site	site_code	country	country_zoo	captivity_status	captivity_status_ext	amplicon	sample	Description	X.SampleID
11	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	11	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.11	wild_chimp	wd.chi.GM.11.16s
110	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	110	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.110	wild_chimp	wd.chi.GM.110.16s
111	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	111	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.111	wild_chimp	wd.chi.GM.111.16s
112	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	112	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.112	wild_chimp	wd.chi.GM.112.16s
113	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	113	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.113	wild_chimp	wd.chi.GM.113.16s
114	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	114	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.114	wild_chimp	wd.chi.GM.114.16s
115	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	115	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.115	wild_chimp	wd.chi.GM.115.16s
116	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	116	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.116	wild_chimp	wd.chi.GM.116.16s
117	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	117	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.117	wild_chimp	wd.chi.GM.117.16s
118	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	118	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.118	wild_chimp	wd.chi.GM.118.16s
119	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	119	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.119	wild_chimp	wd.chi.GM.119.16s
12	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	12	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.12	wild_chimp	wd.chi.GM.12.16s
120	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	120	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.120	wild_chimp	wd.chi.GM.120.16s
121	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	121	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.121	wild_chimp	wd.chi.GM.121.16s
122	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	122	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.122	wild_chimp	wd.chi.GM.122.16s
123	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	123	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.123	wild_chimp	wd.chi.GM.123.16s
124	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	124	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.124	wild_chimp	wd.chi.GM.124.16s
125	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	125	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.125	wild_chimp	wd.chi.GM.125.16s
126	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	126	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.126	wild_chimp	wd.chi.GM.126.16s
127	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	127	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.127	wild_chimp	wd.chi.GM.127.16s
128	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	128	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.128	wild_chimp	wd.chi.GM.128.16s
129	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	129	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.129	wild_chimp	wd.chi.GM.129.16s
13	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	13	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.13	wild_chimp	wd.chi.GM.13.16s
130	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	130	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.130	wild_chimp	wd.chi.GM.130.16s
131	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	131	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.131	wild_chimp	wd.chi.GM.131.16s
132	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	132	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.132	wild_chimp	wd.chi.GM.132.16s
133	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	133	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.133	wild_chimp	wd.chi.GM.133.16s
134	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	134	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.134	wild_chimp	wd.chi.GM.134.16s
135	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	135	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.135	wild_chimp	wd.chi.GM.135.16s
136	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	136	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.136	wild_chimp	wd.chi.GM.136.16s
137	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	137	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.137	wild_chimp	wd.chi.GM.137.16s
138	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	138	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.138	wild_chimp	wd.chi.GM.138.16s
139	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	139	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.139	wild_chimp	wd.chi.GM.139.16s
14	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	14	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.14	wild_chimp	wd.chi.GM.14.16s
140	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	140	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.140	wild_chimp	wd.chi.GM.140.16s
141	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	141	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.141	wild_chimp	wd.chi.GM.141.16s
142	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	142	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.142	wild_chimp	wd.chi.GM.142.16s
143	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	143	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.143	wild_chimp	wd.chi.GM.143.16s
144	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	144	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.144	wild_chimp	wd.chi.GM.144.16s
145	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	145	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.145	wild_chimp	wd.chi.GM.145.16s
146	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	146	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.146	wild_chimp	wd.chi.GM.146.16s
147	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	147	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.147	wild_chimp	wd.chi.GM.147.16s
148	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	148	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.148	wild_chimp	wd.chi.GM.148.16s
149	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	149	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.149	wild_chimp	wd.chi.GM.149.16s
15	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	15	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.15	wild_chimp	wd.chi.GM.15.16s
150	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	150	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.150	wild_chimp	wd.chi.GM.150.16s
151	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	151	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.151	wild_chimp	wd.chi.GM.151.16s
153	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	153	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.153	wild_chimp	wd.chi.GM.153.16s
154	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	154	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.154	wild_chimp	wd.chi.GM.154.16s
155	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	155	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.155	wild_chimp	wd.chi.GM.155.16s
156	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	156	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.156	wild_chimp	wd.chi.GM.156.16s
157	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	157	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.157	wild_chimp	wd.chi.GM.157.16s
158	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	158	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.158	wild_chimp	wd.chi.GM.158.16s
159	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	159	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.159	wild_chimp	wd.chi.GM.159.16s
16	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	16	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.16	wild_chimp	wd.chi.GM.16.16s
160	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	160	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.160	wild_chimp	wd.chi.GM.160.16s
17	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	17	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.17	wild_chimp	wd.chi.GM.17.16s
18	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	18	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.18	wild_chimp	wd.chi.GM.18.16s
19	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	19	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.19	wild_chimp	wd.chi.GM.19.16s
2	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	2	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.2	wild_chimp	wd.chi.GM.2.16s
20	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	20	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.20	wild_chimp	wd.chi.GM.20.16s
21	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	21	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.21	wild_chimp	wd.chi.GM.21.16s
22	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	22	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.22	wild_chimp	wd.chi.GM.22.16s
23	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	23	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.23	wild_chimp	wd.chi.GM.23.16s
24	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	24	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.24	wild_chimp	wd.chi.GM.24.16s
25	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	25	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.25	wild_chimp	wd.chi.GM.25.16s
26	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	26	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.26	wild_chimp	wd.chi.GM.26.16s
27	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	27	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.27	wild_chimp	wd.chi.GM.27.16s
28	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	28	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.28	wild_chimp	wd.chi.GM.28.16s
29	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	29	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.29	wild_chimp	wd.chi.GM.29.16s
3	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	3	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.3	wild_chimp	wd.chi.GM.3.16s
31	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	31	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.31	wild_chimp	wd.chi.GM.31.16s
32	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	32	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.32	wild_chimp	wd.chi.GM.32.16s
33	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	33	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.33	wild_chimp	wd.chi.GM.33.16s
34	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	34	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.34	wild_chimp	wd.chi.GM.34.16s
35	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	35	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.35	wild_chimp	wd.chi.GM.35.16s
36	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	36	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.36	wild_chimp	wd.chi.GM.36.16s
37	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	37	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.37	wild_chimp	wd.chi.GM.37.16s
38	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	38	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.38	wild_chimp	wd.chi.GM.38.16s
39	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	39	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.39	wild_chimp	wd.chi.GM.39.16s
4	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	4	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.4	wild_chimp	wd.chi.GM.4.16s
40	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	40	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.40	wild_chimp	wd.chi.GM.40.16s
41	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	41	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.41	wild_chimp	wd.chi.GM.41.16s
42	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	42	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.42	wild_chimp	wd.chi.GM.42.16s
43	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	43	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.43	wild_chimp	wd.chi.GM.43.16s
44	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	44	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.44	wild_chimp	wd.chi.GM.44.16s
45	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	45	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.45	wild_chimp	wd.chi.GM.45.16s
46	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	46	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.46	wild_chimp	wd.chi.GM.46.16s
47	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	47	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.47	wild_chimp	wd.chi.GM.47.16s
48	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	48	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.48	wild_chimp	wd.chi.GM.48.16s
49	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	49	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.49	wild_chimp	wd.chi.GM.49.16s
5	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	5	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.5	wild_chimp	wd.chi.GM.5.16s
50	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	50	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.50	wild_chimp	wd.chi.GM.50.16s
51	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	51	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.51	wild_chimp	wd.chi.GM.51.16s
52	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	52	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.52	wild_chimp	wd.chi.GM.52.16s
53	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	53	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.53	wild_chimp	wd.chi.GM.53.16s
