comparison	Genus	group1	group2	group1_n	group2_n	group1_mean	group2_mean	df	statistic	p	p_adj_bonferroni
cp_wd.kruskal	Erysipelotrichaceae_UCG-004	captive_ape	wild_ape	77	377	0.0076	0.0111	1	27.4	0	0
bonobo.kruskal	Erysipelotrichaceae_UCG-004	captive_bonobo	wild_bonobo	9	69	0.003	0.0112	1	9.7	0.002	1
chimp.kruskal	Erysipelotrichaceae_UCG-004	captive_chimp	wild_chimp	25	132	0	0.0229	1	58.9	0	0
gorilla.kruskal	Erysipelotrichaceae_UCG-004	captive_gorilla	wild_gorilla	21	176	0.0153	0.0023	1	12.2	0	0.388
cp_wd.kruskal	XBB1006	captive_ape	wild_ape	77	377	0	4e-04	1	3.8	0.051	1
bonobo.kruskal	XBB1006	captive_bonobo	wild_bonobo	9	69	0	0	1	0.3	0.607	1
chimp.kruskal	XBB1006	captive_chimp	wild_chimp	25	132	0	2e-04	1	2.2	0.136	1
gorilla.kruskal	XBB1006	captive_gorilla	wild_gorilla	21	176	0	6e-04	1	0.6	0.435	1
cp_wd.kruskal	Senegalimassilia	captive_ape	wild_ape	77	377	1e-04	0.0155	1	185	0	0
bonobo.kruskal	Senegalimassilia	captive_bonobo	wild_bonobo	9	69	0	0.0132	1	23.6	0	0.001
chimp.kruskal	Senegalimassilia	captive_chimp	wild_chimp	25	132	3e-04	0.0096	1	57.7	0	0
gorilla.kruskal	Senegalimassilia	captive_gorilla	wild_gorilla	21	176	0	0.0209	1	55.4	0	0
cp_wd.kruskal	Tetragenococcus	captive_ape	wild_ape	77	377	0	3e-04	1	2.7	0.099	1
bonobo.kruskal	Tetragenococcus	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	Tetragenococcus	captive_chimp	wild_chimp	25	132	0	9e-04	1	2.7	0.103	1
gorilla.kruskal	Tetragenococcus	captive_gorilla	wild_gorilla	21	176	0	0	NA	NA	NA	NA
cp_wd.kruskal	Megamonas	captive_ape	wild_ape	77	377	0	0	NA	NA	NA	NA
bonobo.kruskal	Megamonas	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	Megamonas	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	Megamonas	captive_gorilla	wild_gorilla	21	176	0	0	NA	NA	NA	NA
cp_wd.kruskal	Nocardioides	captive_ape	wild_ape	77	377	0	0.003	1	23.7	0	0.001
bonobo.kruskal	Nocardioides	captive_bonobo	wild_bonobo	9	69	0	6e-04	1	0.3	0.607	1
chimp.kruskal	Nocardioides	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	Nocardioides	captive_gorilla	wild_gorilla	21	176	0	0.0062	1	18	0	0.017
cp_wd.kruskal	Phascolarctobacterium	captive_ape	wild_ape	77	377	0.0179	0.0042	1	71.6	0	0
bonobo.kruskal	Phascolarctobacterium	captive_bonobo	wild_bonobo	9	69	0.009	0.0022	1	20	0	0.006
chimp.kruskal	Phascolarctobacterium	captive_chimp	wild_chimp	25	132	0.0388	0.0084	1	43.1	0	0
gorilla.kruskal	Phascolarctobacterium	captive_gorilla	wild_gorilla	21	176	0.0082	0.0018	1	36	0	0
cp_wd.kruskal	Anaerovibrio	captive_ape	wild_ape	77	377	0.0016	0.0039	1	0.3	0.58	1
bonobo.kruskal	Anaerovibrio	captive_bonobo	wild_bonobo	9	69	7e-04	0.0124	1	16.4	0	0.041
chimp.kruskal	Anaerovibrio	captive_chimp	wild_chimp	25	132	0.0028	0.0037	1	0.1	0.768	1
gorilla.kruskal	Anaerovibrio	captive_gorilla	wild_gorilla	21	176	0.0011	7e-04	1	8.7	0.003	1
cp_wd.kruskal	Megasphaera	captive_ape	wild_ape	77	377	0.0021	0	1	101.1	0	0
bonobo.kruskal	Megasphaera	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	Megasphaera	captive_chimp	wild_chimp	25	132	0.0059	0	1	58.4	0	0
gorilla.kruskal	Megasphaera	captive_gorilla	wild_gorilla	21	176	0	0	1	0.1	0.73	1
cp_wd.kruskal	Prevotella_1	captive_ape	wild_ape	77	377	0.0125	0.0021	1	134.4	0	0
bonobo.kruskal	Prevotella_1	captive_bonobo	wild_bonobo	9	69	0.0199	7e-04	1	28.3	0	0
chimp.kruskal	Prevotella_1	captive_chimp	wild_chimp	25	132	0.0159	0.0056	1	18.7	0	0.012
gorilla.kruskal	Prevotella_1	captive_gorilla	wild_gorilla	21	176	0.0069	0	1	184.9	0	0
cp_wd.kruskal	Solobacterium	captive_ape	wild_ape	77	377	0.0025	0.0082	1	26.3	0	0
bonobo.kruskal	Solobacterium	captive_bonobo	wild_bonobo	9	69	0.0019	0.0138	1	16.6	0	0.037
chimp.kruskal	Solobacterium	captive_chimp	wild_chimp	25	132	0.0025	0.0069	1	8.3	0.004	1
gorilla.kruskal	Solobacterium	captive_gorilla	wild_gorilla	21	176	0.0025	0.0071	1	1.7	0.194	1
cp_wd.kruskal	Acetitomaculum	captive_ape	wild_ape	77	377	0	0.0019	1	62.9	0	0
bonobo.kruskal	Acetitomaculum	captive_bonobo	wild_bonobo	9	69	0	1e-04	1	0.8	0.361	1
chimp.kruskal	Acetitomaculum	captive_chimp	wild_chimp	25	132	0	0.0024	1	25.6	0	0
gorilla.kruskal	Acetitomaculum	captive_gorilla	wild_gorilla	21	176	0	0.0022	1	24	0	0.001
cp_wd.kruskal	Catenisphaera	captive_ape	wild_ape	77	377	0	0.0058	1	167.9	0	0
bonobo.kruskal	Catenisphaera	captive_bonobo	wild_bonobo	9	69	0	0.01	1	23.6	0	0.001
chimp.kruskal	Catenisphaera	captive_chimp	wild_chimp	25	132	0	0.0076	1	54.1	0	0
gorilla.kruskal	Catenisphaera	captive_gorilla	wild_gorilla	21	176	0	0.0028	1	46.6	0	0
cp_wd.kruskal	Ruminococcaceae_UCG-005	captive_ape	wild_ape	77	377	0.0479	0.0074	1	165.6	0	0
bonobo.kruskal	Ruminococcaceae_UCG-005	captive_bonobo	wild_bonobo	9	69	0.0686	0.0036	1	23.6	0	0.001
chimp.kruskal	Ruminococcaceae_UCG-005	captive_chimp	wild_chimp	25	132	0.0373	0.0136	1	40.7	0	0
gorilla.kruskal	Ruminococcaceae_UCG-005	captive_gorilla	wild_gorilla	21	176	0.06	0.0044	1	54.5	0	0
cp_wd.kruskal	CAG-873	captive_ape	wild_ape	77	377	0.0026	0	1	237.2	0	0
bonobo.kruskal	CAG-873	captive_bonobo	wild_bonobo	9	69	3e-04	0	1	23.6	0	0.001
chimp.kruskal	CAG-873	captive_chimp	wild_chimp	25	132	9e-04	0	1	106.1	0	0
gorilla.kruskal	CAG-873	captive_gorilla	wild_gorilla	21	176	0.0035	0	1	115.9	0	0
cp_wd.kruskal	Lysinibacillus	captive_ape	wild_ape	77	377	0	0.0047	1	29.2	0	0
bonobo.kruskal	Lysinibacillus	captive_bonobo	wild_bonobo	9	69	0	6e-04	1	0.7	0.407	1
chimp.kruskal	Lysinibacillus	captive_chimp	wild_chimp	25	132	0	0	1	0.2	0.663	1
gorilla.kruskal	Lysinibacillus	captive_gorilla	wild_gorilla	21	176	0	0.0098	1	22.2	0	0.002
cp_wd.kruskal	Alloprevotella	captive_ape	wild_ape	77	377	0.0052	0.0058	1	0.2	0.69	1
bonobo.kruskal	Alloprevotella	captive_bonobo	wild_bonobo	9	69	0.0053	0.0136	1	5.8	0.016	1
chimp.kruskal	Alloprevotella	captive_chimp	wild_chimp	25	132	0.0083	0.0082	1	0.6	0.447	1
gorilla.kruskal	Alloprevotella	captive_gorilla	wild_gorilla	21	176	0.0031	9e-04	1	4.4	0.035	1
cp_wd.kruskal	Peptoclostridium	captive_ape	wild_ape	77	377	0	0	NA	NA	NA	NA
bonobo.kruskal	Peptoclostridium	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	Peptoclostridium	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	Peptoclostridium	captive_gorilla	wild_gorilla	21	176	0	0	NA	NA	NA	NA
cp_wd.kruskal	Klebsiella	captive_ape	wild_ape	77	377	0	5e-04	1	11	0.001	0.728
bonobo.kruskal	Klebsiella	captive_bonobo	wild_bonobo	9	69	0	3e-04	1	1.1	0.285	1
chimp.kruskal	Klebsiella	captive_chimp	wild_chimp	25	132	1e-04	0	1	0.2	0.635	1
gorilla.kruskal	Klebsiella	captive_gorilla	wild_gorilla	21	176	1e-04	8e-04	1	4.2	0.041	1
cp_wd.kruskal	Ruminiclostridium_5	captive_ape	wild_ape	77	377	3e-04	0.0071	1	87.2	0	0
bonobo.kruskal	Ruminiclostridium_5	captive_bonobo	wild_bonobo	9	69	0	0.0104	1	21	0	0.004
chimp.kruskal	Ruminiclostridium_5	captive_chimp	wild_chimp	25	132	2e-04	0.0123	1	49.1	0	0
gorilla.kruskal	Ruminiclostridium_5	captive_gorilla	wild_gorilla	21	176	2e-04	0.0019	1	17.5	0	0.023
cp_wd.kruskal	Anaeroplasma	captive_ape	wild_ape	77	377	0.0031	0	1	163.3	0	0
bonobo.kruskal	Anaeroplasma	captive_bonobo	wild_bonobo	9	69	0.0187	0	1	64.4	0	0
chimp.kruskal	Anaeroplasma	captive_chimp	wild_chimp	25	132	4e-04	0	1	51.6	0	0
gorilla.kruskal	Anaeroplasma	captive_gorilla	wild_gorilla	21	176	0.0027	0	1	115.9	0	0
cp_wd.kruskal	Lachnospira	captive_ape	wild_ape	77	377	0.0044	8e-04	1	73.2	0	0
bonobo.kruskal	Lachnospira	captive_bonobo	wild_bonobo	9	69	0.0032	0.0023	1	0.6	0.457	1
chimp.kruskal	Lachnospira	captive_chimp	wild_chimp	25	132	0.0031	0.001	1	15.5	0	0.067
gorilla.kruskal	Lachnospira	captive_gorilla	wild_gorilla	21	176	0.0029	1e-04	1	75.4	0	0
cp_wd.kruskal	Corynebacterium	captive_ape	wild_ape	77	377	0	0.0018	1	30.5	0	0
bonobo.kruskal	Corynebacterium	captive_bonobo	wild_bonobo	9	69	0	0	1	0.8	0.361	1
chimp.kruskal	Corynebacterium	captive_chimp	wild_chimp	25	132	0	0	1	0.7	0.396	1
gorilla.kruskal	Corynebacterium	captive_gorilla	wild_gorilla	21	176	0	0.0039	1	25.4	0	0
cp_wd.kruskal	Fusicatenibacter	captive_ape	wild_ape	77	377	0.0034	7e-04	1	41.6	0	0
bonobo.kruskal	Fusicatenibacter	captive_bonobo	wild_bonobo	9	69	0.0065	0.0012	1	18.1	0	0.017
chimp.kruskal	Fusicatenibacter	captive_chimp	wild_chimp	25	132	0.0042	0.0014	1	28	0	0
gorilla.kruskal	Fusicatenibacter	captive_gorilla	wild_gorilla	21	176	0.0023	1e-04	1	55.6	0	0
cp_wd.kruskal	Comamonas	captive_ape	wild_ape	77	377	0	0.0065	1	30.9	0	0
bonobo.kruskal	Comamonas	captive_bonobo	wild_bonobo	9	69	0	8e-04	1	1.5	0.226	1
chimp.kruskal	Comamonas	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	Comamonas	captive_gorilla	wild_gorilla	21	176	0	0.0137	1	22.5	0	0.002
cp_wd.kruskal	Candidatus_Methanogranum	captive_ape	wild_ape	77	377	0.0012	0.0056	1	10.6	0.001	0.892
bonobo.kruskal	Candidatus_Methanogranum	captive_bonobo	wild_bonobo	9	69	9e-04	0.0014	1	3.7	0.056	1
chimp.kruskal	Candidatus_Methanogranum	captive_chimp	wild_chimp	25	132	8e-04	0.015	1	53.6	0	0
gorilla.kruskal	Candidatus_Methanogranum	captive_gorilla	wild_gorilla	21	176	0.0024	1e-04	1	15.2	0	0.078
cp_wd.kruskal	Paraprevotella	captive_ape	wild_ape	77	377	0	0	NA	NA	NA	NA
bonobo.kruskal	Paraprevotella	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	Paraprevotella	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	Paraprevotella	captive_gorilla	wild_gorilla	21	176	0	0	NA	NA	NA	NA
cp_wd.kruskal	Ruminococcaceae_UCG-008	captive_ape	wild_ape	77	377	0.0095	0.0096	1	12.2	0	0.381
bonobo.kruskal	Ruminococcaceae_UCG-008	captive_bonobo	wild_bonobo	9	69	0.0106	0.0065	1	4.5	0.035	1
chimp.kruskal	Ruminococcaceae_UCG-008	captive_chimp	wild_chimp	25	132	0.0104	0.0193	1	3.4	0.066	1
gorilla.kruskal	Ruminococcaceae_UCG-008	captive_gorilla	wild_gorilla	21	176	0.005	0.0036	1	14.2	0	0.133
cp_wd.kruskal	Veillonella	captive_ape	wild_ape	77	377	0	0	1	6.5	0.011	1
bonobo.kruskal	Veillonella	captive_bonobo	wild_bonobo	9	69	0	0	1	0.3	0.607	1
chimp.kruskal	Veillonella	captive_chimp	wild_chimp	25	132	0	0	1	1.8	0.18	1
gorilla.kruskal	Veillonella	captive_gorilla	wild_gorilla	21	176	0	0	1	2.5	0.115	1
cp_wd.kruskal	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	captive_ape	wild_ape	77	377	0	0.0026	1	23.1	0	0.001
bonobo.kruskal	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	captive_bonobo	wild_bonobo	9	69	0	3e-04	1	0.1	0.718	1
chimp.kruskal	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	captive_gorilla	wild_gorilla	21	176	0	0.0055	1	17.7	0	0.02
cp_wd.kruskal	Lachnospiraceae_UCG-009	captive_ape	wild_ape	77	377	0	0.0013	1	28.8	0	0
bonobo.kruskal	Lachnospiraceae_UCG-009	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	Lachnospiraceae_UCG-009	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	Lachnospiraceae_UCG-009	captive_gorilla	wild_gorilla	21	176	0	0.0027	1	23.9	0	0.001
cp_wd.kruskal	Pseudomonas	captive_ape	wild_ape	77	377	0	0.0015	1	25.3	0	0
bonobo.kruskal	Pseudomonas	captive_bonobo	wild_bonobo	9	69	0	5e-04	1	1.3	0.254	1
chimp.kruskal	Pseudomonas	captive_chimp	wild_chimp	25	132	0	0	1	0.6	0.448	1
gorilla.kruskal	Pseudomonas	captive_gorilla	wild_gorilla	21	176	0	0.0031	1	16.6	0	0.038
cp_wd.kruskal	Fibrobacter	captive_ape	wild_ape	77	377	6e-04	0.0027	1	27.3	0	0
bonobo.kruskal	Fibrobacter	captive_bonobo	wild_bonobo	9	69	1e-04	0.0018	1	1.3	0.261	1
chimp.kruskal	Fibrobacter	captive_chimp	wild_chimp	25	132	4e-04	0.0043	1	37.9	0	0
gorilla.kruskal	Fibrobacter	captive_gorilla	wild_gorilla	21	176	4e-04	0.002	1	4.3	0.039	1
cp_wd.kruskal	Lachnospiraceae_UCG-002	captive_ape	wild_ape	77	377	0	0.0019	1	93.2	0	0
bonobo.kruskal	Lachnospiraceae_UCG-002	captive_bonobo	wild_bonobo	9	69	0	0.002	1	18.6	0	0.013
chimp.kruskal	Lachnospiraceae_UCG-002	captive_chimp	wild_chimp	25	132	0	4e-04	1	9.8	0.002	1
gorilla.kruskal	Lachnospiraceae_UCG-002	captive_gorilla	wild_gorilla	21	176	0	0.003	1	41.3	0	0
cp_wd.kruskal	Barnesiella	captive_ape	wild_ape	77	377	0	0	1	1.6	0.211	1
bonobo.kruskal	Barnesiella	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	Barnesiella	captive_chimp	wild_chimp	25	132	0	0	1	5.3	0.022	1
gorilla.kruskal	Barnesiella	captive_gorilla	wild_gorilla	21	176	0	0	1	0.1	0.73	1
cp_wd.kruskal	Libanicoccus	captive_ape	wild_ape	77	377	0	0.0032	1	119.6	0	0
bonobo.kruskal	Libanicoccus	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	Libanicoccus	captive_chimp	wild_chimp	25	132	0	0.0047	1	59.3	0	0
gorilla.kruskal	Libanicoccus	captive_gorilla	wild_gorilla	21	176	0	0.0034	1	48.3	0	0
cp_wd.kruskal	Dorea	captive_ape	wild_ape	77	377	0.0034	0.0067	1	0	0.979	1
bonobo.kruskal	Dorea	captive_bonobo	wild_bonobo	9	69	0.0035	0.0147	1	7.8	0.005	1
chimp.kruskal	Dorea	captive_chimp	wild_chimp	25	132	0.0028	0.0102	1	27.2	0	0
gorilla.kruskal	Dorea	captive_gorilla	wild_gorilla	21	176	0.002	9e-04	1	13.2	0	0.228
cp_wd.kruskal	Parabacteroides	captive_ape	wild_ape	77	377	0.0014	0.0015	1	4.8	0.028	1
bonobo.kruskal	Parabacteroides	captive_bonobo	wild_bonobo	9	69	6e-04	0.0029	1	8.7	0.003	1
chimp.kruskal	Parabacteroides	captive_chimp	wild_chimp	25	132	6e-04	0.0025	1	23.9	0	0.001
gorilla.kruskal	Parabacteroides	captive_gorilla	wild_gorilla	21	176	3e-04	1e-04	1	0.8	0.376	1
cp_wd.kruskal	Ruminiclostridium_6	captive_ape	wild_ape	77	377	0.0121	6e-04	1	221.3	0	0
bonobo.kruskal	Ruminiclostridium_6	captive_bonobo	wild_bonobo	9	69	0.0053	0	1	69.9	0	0
chimp.kruskal	Ruminiclostridium_6	captive_chimp	wild_chimp	25	132	0.0047	0.0018	1	30.8	0	0
gorilla.kruskal	Ruminiclostridium_6	captive_gorilla	wild_gorilla	21	176	0.0108	0	1	157	0	0
cp_wd.kruskal	Sphingopyxis	captive_ape	wild_ape	77	377	0	0.0026	1	15.1	0	0.084
bonobo.kruskal	Sphingopyxis	captive_bonobo	wild_bonobo	9	69	0	5e-04	1	0.1	0.718	1
chimp.kruskal	Sphingopyxis	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	Sphingopyxis	captive_gorilla	wild_gorilla	21	176	0	0.0054	1	10.5	0.001	0.973
cp_wd.kruskal	Lachnospiraceae_NK4A136_group	captive_ape	wild_ape	77	377	0.0096	8e-04	1	151.6	0	0
bonobo.kruskal	Lachnospiraceae_NK4A136_group	captive_bonobo	wild_bonobo	9	69	0.0079	0.0019	1	15.5	0	0.065
chimp.kruskal	Lachnospiraceae_NK4A136_group	captive_chimp	wild_chimp	25	132	0.0096	0.0013	1	52.8	0	0
gorilla.kruskal	Lachnospiraceae_NK4A136_group	captive_gorilla	wild_gorilla	21	176	0.0097	0	1	162.4	0	0
cp_wd.kruskal	Dietzia	captive_ape	wild_ape	77	377	0	8e-04	1	11.9	0.001	0.449
bonobo.kruskal	Dietzia	captive_bonobo	wild_bonobo	9	69	0	1e-04	1	0.1	0.718	1
chimp.kruskal	Dietzia	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	Dietzia	captive_gorilla	wild_gorilla	21	176	0	0.0016	1	7.9	0.005	1
cp_wd.kruskal	Devosia	captive_ape	wild_ape	77	377	0	0.0019	1	19	0	0.011
bonobo.kruskal	Devosia	captive_bonobo	wild_bonobo	9	69	0	2e-04	1	0.3	0.607	1
chimp.kruskal	Devosia	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	Devosia	captive_gorilla	wild_gorilla	21	176	0	0.0039	1	13.6	0	0.183
cp_wd.kruskal	Roseburia	captive_ape	wild_ape	77	377	0.0025	0.0012	1	14.7	0	0.103
bonobo.kruskal	Roseburia	captive_bonobo	wild_bonobo	9	69	0.0015	0.0021	1	0.4	0.527	1
chimp.kruskal	Roseburia	captive_chimp	wild_chimp	25	132	0.0038	0.0012	1	17.7	0	0.021
gorilla.kruskal	Roseburia	captive_gorilla	wild_gorilla	21	176	0.0019	8e-04	1	11.4	0.001	0.582
cp_wd.kruskal	Coprococcus_2	captive_ape	wild_ape	77	377	7e-04	5e-04	1	4.2	0.039	1
bonobo.kruskal	Coprococcus_2	captive_bonobo	wild_bonobo	9	69	5e-04	0.0012	1	2.6	0.108	1
chimp.kruskal	Coprococcus_2	captive_chimp	wild_chimp	25	132	5e-04	8e-04	1	0	0.907	1
gorilla.kruskal	Coprococcus_2	captive_gorilla	wild_gorilla	21	176	8e-04	0	1	62.5	0	0
cp_wd.kruskal	Elusimicrobium	captive_ape	wild_ape	77	377	0.0015	1e-04	1	153	0	0
bonobo.kruskal	Elusimicrobium	captive_bonobo	wild_bonobo	9	69	0.0035	0	1	67.2	0	0
chimp.kruskal	Elusimicrobium	captive_chimp	wild_chimp	25	132	0.0011	2e-04	1	38.1	0	0
gorilla.kruskal	Elusimicrobium	captive_gorilla	wild_gorilla	21	176	0.0019	1e-04	1	70.9	0	0
cp_wd.kruskal	Sphaerochaeta	captive_ape	wild_ape	77	377	0	0.0115	1	153.8	0	0
bonobo.kruskal	Sphaerochaeta	captive_bonobo	wild_bonobo	9	69	0	0.0272	1	23.6	0	0.001
chimp.kruskal	Sphaerochaeta	captive_chimp	wild_chimp	25	132	0	0.0141	1	57.9	0	0
gorilla.kruskal	Sphaerochaeta	captive_gorilla	wild_gorilla	21	176	0	0.0034	1	34.2	0	0
cp_wd.kruskal	Novosphingobium	captive_ape	wild_ape	77	377	0	8e-04	1	14	0	0.147
bonobo.kruskal	Novosphingobium	captive_bonobo	wild_bonobo	9	69	0	4e-04	1	0.4	0.526	1
chimp.kruskal	Novosphingobium	captive_chimp	wild_chimp	25	132	0	0	1	0.2	0.663	1
gorilla.kruskal	Novosphingobium	captive_gorilla	wild_gorilla	21	176	0	0.0016	1	9	0.003	1
cp_wd.kruskal	Weissella	captive_ape	wild_ape	77	377	0.0012	5e-04	1	17.1	0	0.029
bonobo.kruskal	Weissella	captive_bonobo	wild_bonobo	9	69	0	0	1	0.3	0.607	1
chimp.kruskal	Weissella	captive_chimp	wild_chimp	25	132	0.0037	0	1	86.7	0	0
gorilla.kruskal	Weissella	captive_gorilla	wild_gorilla	21	176	0	0.0011	1	2.6	0.105	1
cp_wd.kruskal	Olsenella	captive_ape	wild_ape	77	377	0	0.0058	1	87.8	0	0
bonobo.kruskal	Olsenella	captive_bonobo	wild_bonobo	9	69	0	0.0087	1	23.6	0	0.001
chimp.kruskal	Olsenella	captive_chimp	wild_chimp	25	132	1e-04	0.011	1	51.6	0	0
gorilla.kruskal	Olsenella	captive_gorilla	wild_gorilla	21	176	0	8e-04	1	8.3	0.004	1
cp_wd.kruskal	Ruminococcaceae_NK4A214_group	captive_ape	wild_ape	77	377	0.0146	0.0116	1	5.9	0.015	1
bonobo.kruskal	Ruminococcaceae_NK4A214_group	captive_bonobo	wild_bonobo	9	69	0.0089	0.0083	1	0.3	0.595	1
chimp.kruskal	Ruminococcaceae_NK4A214_group	captive_chimp	wild_chimp	25	132	0.0107	0.0149	1	3.6	0.056	1
gorilla.kruskal	Ruminococcaceae_NK4A214_group	captive_gorilla	wild_gorilla	21	176	0.0228	0.0106	1	17.6	0	0.022
cp_wd.kruskal	Intestinibacter	captive_ape	wild_ape	77	377	0.0014	4e-04	1	23.8	0	0.001
bonobo.kruskal	Intestinibacter	captive_bonobo	wild_bonobo	9	69	7e-04	1e-04	1	13.7	0	0.174
chimp.kruskal	Intestinibacter	captive_chimp	wild_chimp	25	132	9e-04	7e-04	1	3	0.083	1
gorilla.kruskal	Intestinibacter	captive_gorilla	wild_gorilla	21	176	0	4e-04	1	1.2	0.264	1
cp_wd.kruskal	Rummeliibacillus	captive_ape	wild_ape	77	377	1e-04	5e-04	1	6.6	0.01	1
bonobo.kruskal	Rummeliibacillus	captive_bonobo	wild_bonobo	9	69	0	0.0011	1	0.7	0.407	1
chimp.kruskal	Rummeliibacillus	captive_chimp	wild_chimp	25	132	2e-04	0	1	5.3	0.022	1
gorilla.kruskal	Rummeliibacillus	captive_gorilla	wild_gorilla	21	176	0	7e-04	1	5	0.025	1
cp_wd.kruskal	Cellvibrio	captive_ape	wild_ape	77	377	0	0.0013	1	12.2	0	0.392
bonobo.kruskal	Cellvibrio	captive_bonobo	wild_bonobo	9	69	0	2e-04	1	0.5	0.461	1
chimp.kruskal	Cellvibrio	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	Cellvibrio	captive_gorilla	wild_gorilla	21	176	0	0.0028	1	7.5	0.006	1
cp_wd.kruskal	Acidaminococcus	captive_ape	wild_ape	77	377	0	0	1	5.3	0.022	1
bonobo.kruskal	Acidaminococcus	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	Acidaminococcus	captive_chimp	wild_chimp	25	132	0	0	1	0.2	0.663	1
gorilla.kruskal	Acidaminococcus	captive_gorilla	wild_gorilla	21	176	1e-04	0	1	8.4	0.004	1
cp_wd.kruskal	Mitsuokella	captive_ape	wild_ape	77	377	1e-04	0	1	14.8	0	0.099
bonobo.kruskal	Mitsuokella	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	Mitsuokella	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	Mitsuokella	captive_gorilla	wild_gorilla	21	176	1e-04	0	1	16.8	0	0.033
cp_wd.kruskal	Sphingobacterium	captive_ape	wild_ape	77	377	0	0.0058	1	29.8	0	0
bonobo.kruskal	Sphingobacterium	captive_bonobo	wild_bonobo	9	69	0	0.0016	1	1.5	0.226	1
chimp.kruskal	Sphingobacterium	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	Sphingobacterium	captive_gorilla	wild_gorilla	21	176	0	0.0118	1	21.5	0	0.003
cp_wd.kruskal	CAG-352	captive_ape	wild_ape	77	377	4e-04	0	1	25	0	0
bonobo.kruskal	CAG-352	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	CAG-352	captive_chimp	wild_chimp	25	132	0	0	1	0.6	0.448	1
gorilla.kruskal	CAG-352	captive_gorilla	wild_gorilla	21	176	0.0015	0	1	69.5	0	0
cp_wd.kruskal	Sutterella	captive_ape	wild_ape	77	377	0.0099	0.0037	1	26.4	0	0
bonobo.kruskal	Sutterella	captive_bonobo	wild_bonobo	9	69	0.0151	0.008	1	4.7	0.03	1
chimp.kruskal	Sutterella	captive_chimp	wild_chimp	25	132	0.0133	0.0057	1	2.9	0.087	1
gorilla.kruskal	Sutterella	captive_gorilla	wild_gorilla	21	176	0.0104	5e-04	1	21.6	0	0.003
cp_wd.kruskal	Erysipelothrix	captive_ape	wild_ape	77	377	0	8e-04	1	16.4	0	0.041
bonobo.kruskal	Erysipelothrix	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	Erysipelothrix	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	Erysipelothrix	captive_gorilla	wild_gorilla	21	176	0	0.0018	1	11.9	0.001	0.461
cp_wd.kruskal	Erysipelatoclostridium	captive_ape	wild_ape	77	377	0	1e-04	1	6.5	0.011	1
bonobo.kruskal	Erysipelatoclostridium	captive_bonobo	wild_bonobo	9	69	0	0	1	0.1	0.718	1
chimp.kruskal	Erysipelatoclostridium	captive_chimp	wild_chimp	25	132	0	3e-04	1	6.6	0.01	1
gorilla.kruskal	Erysipelatoclostridium	captive_gorilla	wild_gorilla	21	176	0	0	NA	NA	NA	NA
cp_wd.kruskal	Lachnoclostridium	captive_ape	wild_ape	77	377	5e-04	0.0026	1	12.1	0.001	0.405
bonobo.kruskal	Lachnoclostridium	captive_bonobo	wild_bonobo	9	69	1e-04	0.0075	1	14.1	0	0.14
