HR_type	group1	group2	group1_n	group2_n	group1_mean	group2_mean	df	statistic	p	p_adj_bonferroni
HR_human	captive_ape	human	77	274	0.2856	0.3244	1	6.4	0.012	0.093
HR_wild_gorilla	captive_ape	wild_gorilla	77	176	0.016	0.2573	1	151.3	0	0
HR_wild_chimp	captive_ape	wild_chimp	77	132	0.0112	0.2088	1	144.8	0	0
HR_wild_bonobo	captive_ape	wild_bonobo	77	69	0	0.1502	1	127.1	0	0
MX_wild_apes	captive_ape	wild_ape	77	377	0.0223	0.4974	1	191.1	0	0
MX_human_wild_apes	captive_ape	wild_ape	77	377	0.5322	0.2819	1	133.6	0	0
MX_human_wild_apes	captive_ape	human	77	274	0.5322	0.6756	1	78.5	0	0
MX_human_wild_apes	human	wild_ape	274	377	0.6756	0.2819	1	421.3	0	0
