Phylum	captive_mean	wild_mean	captive_bonobo_mean	captive_chimp_mean	captive_gorilla_mean	captive_orangutan_mean	industrialized_human_mean	non_industrialized_human_mean	wild_bonobo_mean	wild_chimp_mean	wild_gorilla_mean	captive_vs_wild_allspecies	captive_vs_wild_bonobo	captive_vs_wild_chimp	captive_vs_wild_gorilla
Actinobacteria	0.00132121764246117	0.171770485668041	0.00033213763783712	0.00173774412116381	0.00048397198656266	0.00205170477191203	0.0448698969424358	0.00722325003123085	0.188080879847043	0.231901518170948	0.120277795391137	6.624e-42	4.284e-05	8.856e-14	2.5812e-12
Bacteroidetes	0.304255330162066	0.170137901432826	0.285095877064789	0.356596253487445	0.274587674846742	0.280934091814921	0.30097861982577	0.380281732033337	0.156670767844456	0.190589634890153	0.160078829848908	1.1556e-23	0.0017784	3.2328e-10	2.6568e-06
Chloroflexi	7.76425646891968e-06	0.0428076960078994	0	0	2.84689403860388e-05	0	0	0	0.0325321595878027	0.00118663719699989	0.0780519674625892	4.464e-30	0.00022464	1.1376e-05	8.208e-12
Euryarchaeota	0.0144919846992386	0.0209407935146999	0.012532660201054	0.0118493423674771	0.0146852284157984	0.0181120692778724	0.00487245914707055	0.00483037185535059	0.0189029638229909	0.0419837071391476	0.00595753016413638	1	1	6.156e-08	0.05688
Firmicutes	0.482539481244144	0.400236866114878	0.429166113103937	0.4575368672778	0.477443109567462	0.537650820681909	0.574192193816546	0.467179348375698	0.498298877663599	0.427888389675954	0.34105345755281	0.001422	1	1	0.004248
Proteobacteria	0.0522521519930846	0.132024446739748	0.0487135202161109	0.0415902750099641	0.0921871737933914	0.0276957498460089	0.0390629448271935	0.0621241143822537	0.0409800082023556	0.0167253946399024	0.254192294104859	1	0.05544	0.05004	0.8568
Spirochaetes	0.084634277639459	0.022920668616852	0.129788317612152	0.0805420486249502	0.0867306268860673	0.0688113699771731	5.69378807720777e-05	0.0458848146671981	0.0285075178632286	0.0282981267437226	0.0166972761694264	3.6e-19	0.0017784	4.212e-06	7.38e-08
Tenericutes	0.0284844688989767	0.0106169513887934	0.0541384349674505	0.0159984057393384	0.029569739414299	0.0311424326968368	0.0131220463474349	0.0178305860097678	0.0123353030539334	0.0165925395847676	0.00546158828218414	1.026e-11	8.676e-05	1	2.2428e-08
Verrucomicrobia	0.00947756906306129	0.00610402022216043	0.0219764403702228	0.00301315265045835	0.00375790013095713	0.0171700061596435	0.0191240107043216	0.000341308602463966	0.011530952339693	0.0108224029856154	0.000437629080763796	0.11196	0.09576	0.005472	0.007128
