#SampleID	Old_SampleID	dataset	genus_sp	subspecies	common_name	uniqueid	site	site_code	country	country_zoo	captivity_status	captivity_status_ext	amplicon	sample	Description
cp.ora.COLZ.4.16s	COL.Orang04	this_study	Pongo_undetermined	Pongo_undetermined	orangutan	4	columbus_zoo	COLZ	USA	USA_ColumbusZoo	captive	captive	16s	cp.ora.COLZ.4	captive_orangutan
cp.gor.COMZ.MB2.16s	CZ-MB2	clayton_2016	Gorilla_gorilla	Gorilla_gorilla_gorilla	western_lowland_gorilla	MB2	como_zoo	COMZ	USA	USA_ComoZoo	captive	captive	16s	cp.gor.COMZ.MB2	captive_gorilla
cp.gor.COMZ.MB26.16s	CZ-MB26	clayton_2016	Gorilla_gorilla	Gorilla_gorilla_gorilla	western_lowland_gorilla	MB26	como_zoo	COMZ	USA	USA_ComoZoo	captive	captive	16s	cp.gor.COMZ.MB26	captive_gorilla
cp.gor.COMZ.MB82.16s	CZ-MB82	clayton_2016	Gorilla_gorilla	Gorilla_gorilla_gorilla	western_lowland_gorilla	MB82	como_zoo	COMZ	USA	USA_ComoZoo	captive	captive	16s	cp.gor.COMZ.MB82	captive_gorilla
cp.ora.COMZ.MB105.16s	CZ-MB105	clayton_2016	Pongo_sp._hybrid	Pongo_sp._hybrid	hybrid_orangutan	MB105	como_zoo	COMZ	USA	USA_ComoZoo	captive	captive	16s	cp.ora.COMZ.MB105	captive_orangutan
cp.ora.COMZ.MB31.16s	CZ-MB31	clayton_2016	Pongo_abelii	Pongo_abelii	sumatran_orangutan	MB31	como_zoo	COMZ	USA	USA_ComoZoo	captive	captive	16s	cp.ora.COMZ.MB31	captive_orangutan
cp.ora.COMZ.MB7.16s	CZ-MB7	clayton_2016	Pongo_abelii	Pongo_abelii	sumatran_orangutan	MB7	como_zoo	COMZ	USA	USA_ComoZoo	captive	captive	16s	cp.ora.COMZ.MB7	captive_orangutan
cp.ora.COMZ.MB84.16s	CZ-MB84	clayton_2016	Pongo_abelii	Pongo_abelii	sumatran_orangutan	MB84	como_zoo	COMZ	USA	USA_ComoZoo	captive	captive	16s	cp.ora.COMZ.MB84	captive_orangutan
cp.chi.HOUZ.1.16s	HOU.Chimp01	this_study	Pan_troglodytes	Pan_troglodytes	chimpanzee	1	houston_zoo	HOUZ	USA	USA_HoustonZoo	captive	captive	16s	cp.chi.HOUZ.1	captive_chimp
cp.chi.HOUZ.2.16s	HOU.Chimp02	this_study	Pan_troglodytes	Pan_troglodytes	chimpanzee	2	houston_zoo	HOUZ	USA	USA_HoustonZoo	captive	captive	16s	cp.chi.HOUZ.2	captive_chimp
cp.chi.HOUZ.3.16s	HOU.Chimp03	this_study	Pan_troglodytes	Pan_troglodytes	chimpanzee	3	houston_zoo	HOUZ	USA	USA_HoustonZoo	captive	captive	16s	cp.chi.HOUZ.3	captive_chimp
cp.chi.HOUZ.4.16s	HOU.Chimp04	this_study	Pan_troglodytes	Pan_troglodytes	chimpanzee	4	houston_zoo	HOUZ	USA	USA_HoustonZoo	captive	captive	16s	cp.chi.HOUZ.4	captive_chimp
cp.chi.HOUZ.5.16s	HOU.Chimp05	this_study	Pan_troglodytes	Pan_troglodytes	chimpanzee	5	houston_zoo	HOUZ	USA	USA_HoustonZoo	captive	captive	16s	cp.chi.HOUZ.5	captive_chimp
cp.chi.HOUZ.6.16s	HOU.Chimp06	this_study	Pan_troglodytes	Pan_troglodytes	chimpanzee	6	houston_zoo	HOUZ	USA	USA_HoustonZoo	captive	captive	16s	cp.chi.HOUZ.6	captive_chimp
cp.chi.HOUZ.7.16s	HOU.Chimp07	this_study	Pan_troglodytes	Pan_troglodytes	chimpanzee	7	houston_zoo	HOUZ	USA	USA_HoustonZoo	captive	captive	16s	cp.chi.HOUZ.7	captive_chimp
cp.chi.HOUZ.8.16s	HOU.Chimp08	this_study	Pan_troglodytes	Pan_troglodytes	chimpanzee	8	houston_zoo	HOUZ	USA	USA_HoustonZoo	captive	captive	16s	cp.chi.HOUZ.8	captive_chimp
cp.gor.HOUZ.1.16s	HOU.Gorilla01	this_study	Gorilla_gorilla	Gorilla_gorilla_gorilla	western_lowland_gorilla	1	houston_zoo	HOUZ	USA	USA_HoustonZoo	captive	captive	16s	cp.gor.HOUZ.1	captive_gorilla
cp.gor.HOUZ.2.16s	HOU.Gorilla02	this_study	Gorilla_gorilla	Gorilla_gorilla_gorilla	western_lowland_gorilla	2	houston_zoo	HOUZ	USA	USA_HoustonZoo	captive	captive	16s	cp.gor.HOUZ.2	captive_gorilla
cp.gor.HOUZ.3.16s	HOU.Gorilla03	this_study	Gorilla_gorilla	Gorilla_gorilla_gorilla	western_lowland_gorilla	3	houston_zoo	HOUZ	USA	USA_HoustonZoo	captive	captive	16s	cp.gor.HOUZ.3	captive_gorilla
cp.gor.HOUZ.4.16s	HOU.Gorilla04	this_study	Gorilla_gorilla	Gorilla_gorilla_gorilla	western_lowland_gorilla	4	houston_zoo	HOUZ	USA	USA_HoustonZoo	captive	captive	16s	cp.gor.HOUZ.4	captive_gorilla
cp.gor.HOUZ.5.16s	HOU.Gorilla05	this_study	Gorilla_gorilla	Gorilla_gorilla_gorilla	western_lowland_gorilla	5	houston_zoo	HOUZ	USA	USA_HoustonZoo	captive	captive	16s	cp.gor.HOUZ.5	captive_gorilla
cp.gor.HOUZ.6.16s	HOU.Gorilla06	this_study	Gorilla_gorilla	Gorilla_gorilla_gorilla	western_lowland_gorilla	6	houston_zoo	HOUZ	USA	USA_HoustonZoo	captive	captive	16s	cp.gor.HOUZ.6	captive_gorilla
cp.gor.HOUZ.7.16s	HOU.Gorilla07	this_study	Gorilla_gorilla	Gorilla_gorilla_gorilla	western_lowland_gorilla	7	houston_zoo	HOUZ	USA	USA_HoustonZoo	captive	captive	16s	cp.gor.HOUZ.7	captive_gorilla
cp.ora.HOUZ.1.16s	HOU.Orang01	this_study	Pongo_undetermined	Pongo_undetermined	orangutan	1	houston_zoo	HOUZ	USA	USA_HoustonZoo	captive	captive	16s	cp.ora.HOUZ.1	captive_orangutan
cp.ora.HOUZ.2.16s	HOU.Orang02	this_study	Pongo_undetermined	Pongo_undetermined	orangutan	2	houston_zoo	HOUZ	USA	USA_HoustonZoo	captive	captive	16s	cp.ora.HOUZ.2	captive_orangutan
cp.ora.HOUZ.3.16s	HOU.Orang03	this_study	Pongo_undetermined	Pongo_undetermined	orangutan	3	houston_zoo	HOUZ	USA	USA_HoustonZoo	captive	captive	16s	cp.ora.HOUZ.3	captive_orangutan
cp.ora.HOUZ.4.16s	HOU.Orang04	this_study	Pongo_undetermined	Pongo_undetermined	orangutan	4	houston_zoo	HOUZ	USA	USA_HoustonZoo	captive	captive	16s	cp.ora.HOUZ.4	captive_orangutan
cp.ora.HOUZ.5.16s	HOU.Orang05	this_study	Pongo_undetermined	Pongo_undetermined	orangutan	5	houston_zoo	HOUZ	USA	USA_HoustonZoo	captive	captive	16s	cp.ora.HOUZ.5	captive_orangutan
cp.ora.HOUZ.6.16s	HOU.Orang06	this_study	Pongo_undetermined	Pongo_undetermined	orangutan	6	houston_zoo	HOUZ	USA	USA_HoustonZoo	captive	captive	16s	cp.ora.HOUZ.6	captive_orangutan
cp.chi.PC.A1.16S	ProjectChimps-A1-V4	this_study	Pan_troglodytes	Pan_troglodytes	chimpanzee	A1	ProjectChimps	PC	USA	USA_ProjectChimps	captive	captive	16S	cp.chi.PC.A1	captive_chimp
cp.chi.PC.A10.16S	ProjectChimps-A11-V4	this_study	Pan_troglodytes	Pan_troglodytes	chimpanzee	A10	ProjectChimps	PC	USA	USA_ProjectChimps	captive	captive	16S	cp.chi.PC.A10	captive_chimp
cp.chi.PC.A11.16S	ProjectChimps-A11-V4	this_study	Pan_troglodytes	Pan_troglodytes	chimpanzee	A11	ProjectChimps	PC	USA	USA_ProjectChimps	captive	captive	16S	cp.chi.PC.A11	captive_chimp
cp.chi.PC.A12.16S	ProjectChimps-A12-V4	this_study	Pan_troglodytes	Pan_troglodytes	chimpanzee	A12	ProjectChimps	PC	USA	USA_ProjectChimps	captive	captive	16S	cp.chi.PC.A12	captive_chimp
cp.chi.PC.A2.16S	ProjectChimps-A2-V4	this_study	Pan_troglodytes	Pan_troglodytes	chimpanzee	A2	ProjectChimps	PC	USA	USA_ProjectChimps	captive	captive	16S	cp.chi.PC.A2	captive_chimp
cp.chi.PC.A3.16S	ProjectChimps-A3-V4	this_study	Pan_troglodytes	Pan_troglodytes	chimpanzee	A3	ProjectChimps	PC	USA	USA_ProjectChimps	captive	captive	16S	cp.chi.PC.A3	captive_chimp
cp.chi.PC.A4.16S	ProjectChimps-A4-V4	this_study	Pan_troglodytes	Pan_troglodytes	chimpanzee	A4	ProjectChimps	PC	USA	USA_ProjectChimps	captive	captive	16S	cp.chi.PC.A4	captive_chimp
cp.chi.PC.A5.16S	ProjectChimps-A5-V4	this_study	Pan_troglodytes	Pan_troglodytes	chimpanzee	A5	ProjectChimps	PC	USA	USA_ProjectChimps	captive	captive	16S	cp.chi.PC.A5	captive_chimp
cp.chi.PC.A6.16S	ProjectChimps-A6-V4	this_study	Pan_troglodytes	Pan_troglodytes	chimpanzee	A6	ProjectChimps	PC	USA	USA_ProjectChimps	captive	captive	16S	cp.chi.PC.A6	captive_chimp
cp.chi.PC.A7.16S	ProjectChimps-A7-V4	this_study	Pan_troglodytes	Pan_troglodytes	chimpanzee	A7	ProjectChimps	PC	USA	USA_ProjectChimps	captive	captive	16S	cp.chi.PC.A7	captive_chimp
cp.chi.PC.A8.16S	ProjectChimps-A8-V4	this_study	Pan_troglodytes	Pan_troglodytes	chimpanzee	A8	ProjectChimps	PC	USA	USA_ProjectChimps	captive	captive	16S	cp.chi.PC.A8	captive_chimp
cp.chi.PC.A9.16S	ProjectChimps-A9-V4	this_study	Pan_troglodytes	Pan_troglodytes	chimpanzee	A9	ProjectChimps	PC	USA	USA_ProjectChimps	captive	captive	16S	cp.chi.PC.A9	captive_chimp
cp.chi.PC.B1.16S	ProjectChimps-B1-V4	this_study	Pan_troglodytes	Pan_troglodytes	chimpanzee	B1	ProjectChimps	PC	USA	USA_ProjectChimps	captive	captive	16S	cp.chi.PC.B1	captive_chimp
cp.chi.PC.B2.16S	ProjectChimps-B2-V4	this_study	Pan_troglodytes	Pan_troglodytes	chimpanzee	B2	ProjectChimps	PC	USA	USA_ProjectChimps	captive	captive	16S	cp.chi.PC.B2	captive_chimp
cp.chi.PC.B3.16S	ProjectChimps-B3-V4	this_study	Pan_troglodytes	Pan_troglodytes	chimpanzee	B3	ProjectChimps	PC	USA	USA_ProjectChimps	captive	captive	16S	cp.chi.PC.B3	captive_chimp
cp.chi.PC.B4.16S	ProjectChimps-B4-V4	this_study	Pan_troglodytes	Pan_troglodytes	chimpanzee	B4	ProjectChimps	PC	USA	USA_ProjectChimps	captive	captive	16S	cp.chi.PC.B4	captive_chimp
cp.chi.PC.B5.16S	ProjectChimps-B5-V4	this_study	Pan_troglodytes	Pan_troglodytes	chimpanzee	B5	ProjectChimps	PC	USA	USA_ProjectChimps	captive	captive	16S	cp.chi.PC.B5	captive_chimp
cp.chi.PC.B6.16S	ProjectChimps-B6-V4	this_study	Pan_troglodytes	Pan_troglodytes	chimpanzee	B6	ProjectChimps	PC	USA	USA_ProjectChimps	captive	captive	16S	cp.chi.PC.B6	captive_chimp
we.hum.UMN.CS129.16s	CS.129	vangay_2018	Homo_sapiens	Homo_sapiens	human	CS129	Control	UMN	USA	USA_ColumbusZoo	industrialized_human	industrialized_human	16s	we.hum.UMN.CS129	industrialized_human
we.hum.UMN.CS145.16s	CS.145	vangay_2018	Homo_sapiens	Homo_sapiens	human	CS145	Control	UMN	USA	USA	industrialized_human	industrialized_human	16s	we.hum.UMN.CS145	industrialized_human
we.hum.UMN.CS146.16s	CS.146	vangay_2018	Homo_sapiens	Homo_sapiens	human	CS146	Control	UMN	USA	USA	industrialized_human	industrialized_human	16s	we.hum.UMN.CS146	industrialized_human
we.hum.UMN.CS147.16s	CS.147	vangay_2018	Homo_sapiens	Homo_sapiens	human	CS147	Control	UMN	USA	USA	industrialized_human	industrialized_human	16s	we.hum.UMN.CS147	industrialized_human
we.hum.UMN.CS148.16s	CS.148	vangay_2018	Homo_sapiens	Homo_sapiens	human	CS148	Control	UMN	USA	USA	industrialized_human	industrialized_human	16s	we.hum.UMN.CS148	industrialized_human
we.hum.UMN.CS166.16s	CS.166	vangay_2018	Homo_sapiens	Homo_sapiens	human	CS166	Control	UMN	USA	USA	industrialized_human	industrialized_human	16s	we.hum.UMN.CS166	industrialized_human
we.hum.UMN.CS177.16s	CS.177	vangay_2018	Homo_sapiens	Homo_sapiens	human	CS177	Control	UMN	USA	USA	industrialized_human	industrialized_human	16s	we.hum.UMN.CS177	industrialized_human
we.hum.UMN.CS178.16s	CS.178	vangay_2018	Homo_sapiens	Homo_sapiens	human	CS178	Control	UMN	USA	USA	industrialized_human	industrialized_human	16s	we.hum.UMN.CS178	industrialized_human
we.hum.UMN.CS181.16s	CS.181	vangay_2018	Homo_sapiens	Homo_sapiens	human	CS181	Control	UMN	USA	USA	industrialized_human	industrialized_human	16s	we.hum.UMN.CS181	industrialized_human
we.hum.UMN.CS182.16s	CS.182	vangay_2018	Homo_sapiens	Homo_sapiens	human	CS182	Control	UMN	USA	USA	industrialized_human	industrialized_human	16s	we.hum.UMN.CS182	industrialized_human
we.hum.UMN.CS183.16s	CS.183	vangay_2018	Homo_sapiens	Homo_sapiens	human	CS183	Control	UMN	USA	USA	industrialized_human	industrialized_human	16s	we.hum.UMN.CS183	industrialized_human
we.hum.UMN.CS184.16s	CS.184	vangay_2018	Homo_sapiens	Homo_sapiens	human	CS184	Control	UMN	USA	USA	industrialized_human	industrialized_human	16s	we.hum.UMN.CS184	industrialized_human
we.hum.UMN.CS214.16s	CS.214	vangay_2018	Homo_sapiens	Homo_sapiens	human	CS214	Control	UMN	USA	USA	industrialized_human	industrialized_human	16s	we.hum.UMN.CS214	industrialized_human
we.hum.UMN.CS252.16s	CS.252	vangay_2018	Homo_sapiens	Homo_sapiens	human	CS252	Control	UMN	USA	USA	industrialized_human	industrialized_human	16s	we.hum.UMN.CS252	industrialized_human
we.hum.UMN.CS253.16s	CS.253	vangay_2018	Homo_sapiens	Homo_sapiens	human	CS253	Control	UMN	USA	USA	industrialized_human	industrialized_human	16s	we.hum.UMN.CS253	industrialized_human
we.hum.UMN.CS254.16s	CS.254	vangay_2018	Homo_sapiens	Homo_sapiens	human	CS254	Control	UMN	USA	USA	industrialized_human	industrialized_human	16s	we.hum.UMN.CS254	industrialized_human
we.hum.UMN.CS255.16s	CS.255	vangay_2018	Homo_sapiens	Homo_sapiens	human	CS255	Control	UMN	USA	USA	industrialized_human	industrialized_human	16s	we.hum.UMN.CS255	industrialized_human
we.hum.UMN.CS256.16s	CS.256	vangay_2018	Homo_sapiens	Homo_sapiens	human	CS256	Control	UMN	USA	USA	industrialized_human	industrialized_human	16s	we.hum.UMN.CS256	industrialized_human
we.hum.UMN.CS262.16s	CS.262	vangay_2018	Homo_sapiens	Homo_sapiens	human	CS262	Control	UMN	USA	USA	industrialized_human	industrialized_human	16s	we.hum.UMN.CS262	industrialized_human
we.hum.UMN.CS268.16s	CS.268	vangay_2018	Homo_sapiens	Homo_sapiens	human	CS268	Control	UMN	USA	USA	industrialized_human	industrialized_human	16s	we.hum.UMN.CS268	industrialized_human
we.hum.UMN.CS270.16s	CS.270	vangay_2018	Homo_sapiens	Homo_sapiens	human	CS270	Control	UMN	USA	USA	industrialized_human	industrialized_human	16s	we.hum.UMN.CS270	industrialized_human
we.hum.UMN.CS323.16s	CS.323	vangay_2018	Homo_sapiens	Homo_sapiens	human	CS323	Control	UMN	USA	USA	industrialized_human	industrialized_human	16s	we.hum.UMN.CS323	industrialized_human
we.hum.UMN.CS326.16s	CS.326	vangay_2018	Homo_sapiens	Homo_sapiens	human	CS326	Control	UMN	USA	USA	industrialized_human	industrialized_human	16s	we.hum.UMN.CS326	industrialized_human
we.hum.UMN.CS348.16s	CS.348	vangay_2018	Homo_sapiens	Homo_sapiens	human	CS348	Control	UMN	USA	USA	industrialized_human	industrialized_human	16s	we.hum.UMN.CS348	industrialized_human
we.hum.UMN.CS349.16s	CS.349	vangay_2018	Homo_sapiens	Homo_sapiens	human	CS349	Control	UMN	USA	USA	industrialized_human	industrialized_human	16s	we.hum.UMN.CS349	industrialized_human
we.hum.UMN.CS359.16s	CS.359	vangay_2018	Homo_sapiens	Homo_sapiens	human	CS359	Control	UMN	USA	USA	industrialized_human	industrialized_human	16s	we.hum.UMN.CS359	industrialized_human
we.hum.UMN.CS369.16s	CS.369	vangay_2018	Homo_sapiens	Homo_sapiens	human	CS369	Control	UMN	USA	USA	industrialized_human	industrialized_human	16s	we.hum.UMN.CS369	industrialized_human
we.hum.UMN.CS370.16s	CS.370	vangay_2018	Homo_sapiens	Homo_sapiens	human	CS370	Control	UMN	USA	USA	industrialized_human	industrialized_human	16s	we.hum.UMN.CS370	industrialized_human
we.hum.UMN.CS372.16s	CS.372	vangay_2018	Homo_sapiens	Homo_sapiens	human	CS372	Control	UMN	USA	USA	industrialized_human	industrialized_human	16s	we.hum.UMN.CS372	industrialized_human
we.hum.UMN.CS385.16s	CS.385	vangay_2018	Homo_sapiens	Homo_sapiens	human	CS385	Control	UMN	USA	USA	industrialized_human	industrialized_human	16s	we.hum.UMN.CS385	industrialized_human
we.hum.UMN.CS386.16s	CS.386	vangay_2018	Homo_sapiens	Homo_sapiens	human	CS386	Control	UMN	USA	USA	industrialized_human	industrialized_human	16s	we.hum.UMN.CS386	industrialized_human
we.hum.UMN.CS389.16s	CS.389	vangay_2018	Homo_sapiens	Homo_sapiens	human	CS389	Control	UMN	USA	USA	industrialized_human	industrialized_human	16s	we.hum.UMN.CS389	industrialized_human
we.hum.UMN.CS390.16s	CS.390	vangay_2018	Homo_sapiens	Homo_sapiens	human	CS390	Control	UMN	USA	USA	industrialized_human	industrialized_human	16s	we.hum.UMN.CS390	industrialized_human
we.hum.UMN.CS391.16s	CS.391	vangay_2018	Homo_sapiens	Homo_sapiens	human	CS391	Control	UMN	USA	USA	industrialized_human	industrialized_human	16s	we.hum.UMN.CS391	industrialized_human
we.hum.UMN.CS393.16s	CS.393	vangay_2018	Homo_sapiens	Homo_sapiens	human	CS393	Control	UMN	USA	USA	industrialized_human	industrialized_human	16s	we.hum.UMN.CS393	industrialized_human
we.hum.UMN.CS395.16s	CS.395	vangay_2018	Homo_sapiens	Homo_sapiens	human	CS395	Control	UMN	USA	USA	industrialized_human	industrialized_human	16s	we.hum.UMN.CS395	industrialized_human
